topicLabel,count,mean,std,min,25%,50%,75%,max
comedy,5250.0,5095.760866257857,14736.10549726062,3.5279628507974965,883.9389859118248,2206.6466870202803,4948.0284361561635,525058.9781491002
cooking,7739.0,1359.8345070028456,2904.808233897324,0.0,87.01215764615188,294.99652106687284,1300.6454150744257,73338.1046511628
educational,5814.0,1679.0337390500758,5677.024768424798,0.20833333333333334,82.56417999207083,332.3388868052607,1133.948355096918,134017.76086956522
fitness,5198.0,2065.5506578874906,11589.227033102636,0.0,81.36876091843351,267.1157027057883,801.5651771560773,467492.3230769231
history,4298.0,1563.5365429667163,5232.953891142897,0.0,185.2559742837061,575.8960997505254,1464.7160110683576,202865.46
music,3896.0,11425.50798930749,83298.79797993696,0.0,210.26548258852978,652.0376327070007,3458.7436007226315,2778512.8024868486
news,7118.0,2519.2311124536564,5663.538091631213,0.27057079318013344,219.79834474885845,729.4287356321838,2357.8822708012326,105346.66315789474
science,4762.0,1550.1733806141783,5454.920158739694,0.14805825242718446,34.50266486058175,167.97019883081128,837.9705356599218,108482.68656716419
travel,5104.0,985.4562078578665,4902.866175514655,0.02039355992844365,19.469132133152172,92.93766938712658,538.2459046054828,282804.55147058825
yoga,5871.0,1286.2658997980081,10631.771889158874,0.17378752886836027,9.287051442730167,41.285071942446045,312.6086556182764,470380.6923076923
